Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,Site,Species,Planting Date,School,Grade
551,So-RoCa23,NA,Point,38.229722445,-122.82589621,84.294,-27.641,SoMar,RoCa,NA,NA,NA
549,So-AeCa24,NA,Point,38.2296168533333,-122.825921386667,83.03,-27.641,SoMar,AeCa,NA,NA,NA
550,So-AeCa25,NA,Point,38.2296887516667,-122.8258955,83.926,-27.641,SoMar,AeCa,NA,NA,NA
548,So-SeSe04,NA,Point,38.22956082,-122.825925981667,82.727,-27.641,SoMar,SeSe,NA,NA,NA
547,So-AeCa23,NA,Point,38.2295415116667,-122.82589463,83.351,-27.641,SoMar,AeCa,NA,NA,NA
546,So-2a-left,NA,Point,38.2294620883333,-122.825890441667,83.103,-27.641,SoMar,2a-l,NA,NA,NA
545,So-2a-right,NA,Point,38.229497903333296,-122.826051571667,83.168,-27.641,SoMar,2a-r,NA,NA,NA
544,So-FrLa36,NA,Point,38.2296043066667,-122.826014148333,82.934,-27.641,SoMar,FrLa,NA,NA,NA
543,So-FrLa35,NA,Point,38.2296851633333,-122.825991338333,83.073,-27.641,SoMar,FrLa,NA,NA,NA
542,So-RoCa22,NA,Point,38.22977948,-122.82595648,83.052,-27.641,SoMar,RoCa,NA,NA,NA
541,So-RoCa21,NA,Point,38.2299359816667,-122.825892286667,83.703,-27.64,SoMar,RoCa,NA,NA,NA
540,So-RoCa20,NA,Point,38.2299638733333,-122.825857933333,83.993,-27.64,SoMar,RoCa,NA,NA,NA
539,So-FrLa34,NA,Point,38.2300030433333,-122.825837411667,84.306,-27.64,SoMar,FrLa,NA,NA,NA
538,So-LoIn06,NA,Point,38.2300460333333,-122.825815558333,84.344,-27.64,SoMar,LoIn,NA,NA,NA
537,So-BaPi07,NA,Point,38.2302312116667,-122.825830905,85.393,-27.64,SoMar,BaPi,NA,NA,NA
536,So-BaPi06,NA,Point,38.2302782366667,-122.825818995,86.114,-27.64,SoMar,BaPi,NA,NA,NA
535,So-BaPi05,NA,Point,38.2303156183333,-122.825800788333,85.293,-27.64,SoMar,BaPi,NA,NA,NA
534,So-SyAl07,NA,Point,38.2303905366667,-122.825777373333,85.865,-27.64,SoMar,SyAl,NA,NA,NA
533,So-SyAl06,NA,Point,38.2304093266667,-122.825738385,86.357,-27.64,SoMar,SyAl,NA,NA,NA
532,So-CeTh07,NA,Point,38.230481795,-122.825696521667,86.673,-27.639,SoMar,CeTh,NA,NA,NA
531,So-CeTh06,NA,Point,38.2305183166667,-122.825683876667,87.207,-27.639,SoMar,CeTh,NA,NA,NA
530,So-CeTh05,NA,Point,38.23057463,-122.825639686667,88.068,-27.639,SoMar,CeTh,NA,NA,NA
529,So-CeTh04,NA,Point,38.23076307,-122.825512083333,89.695,-27.639,SoMar,CeTh,NA,NA,NA
528,So-CeTh03,NA,Point,38.2308323833333,-122.82547468,89.643,-27.639,SoMar,CeTh,NA,NA,NA
527,So-CeTh02,NA,Point,38.2308600016667,-122.825465295,89.99,-27.639,SoMar,CeTh,NA,NA,NA
526,So-BaPi04,NA,Point,38.231002995,-122.825357883333,90.715,-27.638,SoMar,BaPi,NA,NA,NA
525,So-BaPi03,NA,Point,38.2310340033333,-122.825324255,90.56,-27.638,SoMar,BaPi,NA,NA,NA
524,So-CrDo15,NA,Point,38.2310345283333,-122.825243628333,90.268,-27.638,SoMar,CrDo,NA,NA,NA
523,So-CrDo14,NA,Point,38.231076545,-122.825183913333,90.368,-27.638,SoMar,CrDo,NA,NA,NA
522,So-CeTh01,NA,Point,38.2311234766667,-122.825328938333,90.484,-27.638,SoMar,CeTh,NA,NA,NA
521,So-BaPi02,NA,Point,38.231247955,-122.825276195,91.52,-27.638,SoMar,BaPi,NA,NA,NA
520,So-BaPi01,NA,Point,38.2312747333333,-122.825247728333,91.404,-27.638,SoMar,BaPi,NA,NA,NA
519,So-PoFr01,NA,Point,38.231422525,-122.825205283333,92.04,-27.637,SoMar,PoFr,NA,NA,NA
518,So-CrDo13,NA,Point,38.231411105,-122.825146243333,92.382,-27.637,SoMar,CrDo,NA,NA,NA
517,So-CrDo12,NA,Point,38.2314514633333,-122.825125885,92.685,-27.637,SoMar,CrDo,NA,NA,NA
516,So-CrDo11,NA,Point,38.2314843383333,-122.82514326,92.646,-27.637,SoMar,CrDo,NA,NA,NA
515,So-CrDo10,NA,Point,38.231566865,-122.825126418333,92.85,-27.637,SoMar,CrDo,NA,NA,NA
120,So-QuAg22,NA,Point,38.2269633233333,-122.826963,71.535,-27.647,SoMar,QuAg,NA,NA,NA
119,So-SaEx03,NA,Point,38.2269633233333,-122.826963,71.535,-27.647,SoMar,SaEx,NA,NA,NA
118,So-SaEx02,NA,Point,38.2269633233333,-122.826963,71.535,-27.647,SoMar,SaEx,NA,NA,NA
117,So-SaEx01,NA,Point,38.2269633233333,-122.826963,71.535,-27.647,SoMar,SaEx,NA,NA,NA
116,So-CoSe05,NA,Point,38.2272378183333,-122.826929973333,72.21,-27.646,SoMar,CoSe,NA,NA,NA
115,So-CoSe04,NA,Point,38.2272585916667,-122.826942691667,72.025,-27.646,SoMar,CoSe,NA,NA,NA
114,So-SaSp11,NA,Point,38.227342095,-122.826982345,72.76,-27.646,SoMar,SaSp,NA,NA,NA
113,So-SaSp10,NA,Point,38.2273743233333,-122.82698856,72.612,-27.646,SoMar,SaSp,NA,NA,NA
112,So-SaSp09,NA,Point,38.2273875483333,-122.826985863333,73.049,-27.646,SoMar,SaSp,NA,NA,NA
111,So-SaSp08,NA,Point,38.2274152433333,-122.826974448333,73.055,-27.646,SoMar,SaSp,NA,NA,NA
110,So-QuAg21,NA,Point,38.22744174,-122.826998671667,73.7,-27.646,SoMar,QuAg,NA,NA,NA
109,So-QuAg20,NA,Point,38.2275412533333,-122.826954428333,73.23,-27.646,SoMar,QuAg,NA,NA,NA
108,So-CoSe03,NA,Point,38.22761877,-122.826885766667,72.35,-27.645,SoMar,CoSe,NA,NA,NA
107,So-CoSe02,NA,Point,38.227628315,-122.826880315,72.59,-27.645,SoMar,CoSe,NA,NA,NA
106,So-CoSe01,NA,Point,38.2276353683333,-122.826875375,72.769,-27.645,SoMar,CoSe,NA,NA,NA
105,So-QuAg19,NA,Point,38.2278319383333,-122.826780273333,74.846,-27.645,SoMar,QuAg,NA,NA,NA
104,So-QuAg18,NA,Point,38.2278860716667,-122.826729431667,75.234,-27.645,SoMar,QuAg,NA,NA,NA
103,So-QuAg17,NA,Point,38.2279075,-122.826682261667,75.063,-27.645,SoMar,QuAg,NA,NA,NA
102,So-SaSp07,NA,Point,38.2279629733333,-122.826589186667,74.117,-27.645,SoMar,SaSp,NA,NA,NA
101,So-SaSp06,NA,Point,38.227979155,-122.82657669,74.104,-27.644,SoMar,SaSp,NA,NA,NA
100,So-SaSp05,NA,Point,38.2279936366667,-122.826558836667,74.567,-27.644,SoMar,SaSp,NA,NA,NA
99,So-QuAg16,NA,Point,38.2280577216667,-122.826536916667,75.427,-27.644,SoMar,QuAg,NA,NA,NA
98,So-QuAg15,NA,Point,38.2281051733333,-122.826468498333,75.609,-27.644,SoMar,QuAg,NA,NA,NA
97,So-QuAg14,NA,Point,38.228494735,-122.8263432,79.037,-27.643,SoMar,QuAg,NA,NA,NA
96,So-QuAg13,NA,Point,38.228564195,-122.826300958333,78.469,-27.643,SoMar,QuAg,NA,NA,NA
95,So-QuAg12,NA,Point,38.22860255,-122.826343871667,78.276,-27.643,SoMar,QuAg,NA,NA,NA
94,So-QuAg11,NA,Point,38.228809545,-122.826285476667,78.759,-27.643,SoMar,QuAg,NA,NA,NA
93,So-SaSp04,NA,Point,38.2289166033333,-122.826187648333,78.783,-27.643,SoMar,SaSp,NA,NA,NA
92,So-SaSp03,NA,Point,38.2289461816667,-122.826187931667,79.144,-27.642,SoMar,SaSp,NA,NA,NA
91,So-QuAg10,NA,Point,38.2291845766667,-122.826118381667,80.247,-27.642,SoMar,QuAg,NA,NA,NA
90,So-QuAg09,NA,Point,38.22928344,-122.82606631,80.891,-27.642,SoMar,QuAg,NA,NA,NA
89,So-QuAg08,NA,Point,38.229399325,-122.826042428333,81.337,-27.642,SoMar,QuAg,NA,NA,NA
88,So-QuAg07,NA,Point,38.229869615,-122.825968871667,83.588,-27.641,SoMar,QuAg,NA,NA,NA
87,So-QuAg06,NA,Point,38.2299702266667,-122.825935188333,83.443,-27.64,SoMar,QuAg,NA,NA,NA
86,So-QuAg05,NA,Point,38.230081295,-122.825860066667,84.138,-27.64,SoMar,QuAg,NA,NA,NA
85,So-QuAg04,NA,Point,38.2301934383333,-122.825853628333,84.565,-27.64,SoMar,QuAg,NA,NA,NA
84,So-SaSp02,NA,Point,38.2302816616667,-122.825779125,84.311,-27.64,SoMar,SaSp,NA,NA,NA
83,So-SaSp01,NA,Point,38.23031522,-122.825773475,84.88,-27.64,SoMar,SaSp,NA,NA,NA
82,So-QuAg03,NA,Point,38.2304508883333,-122.825720983333,86.463,-27.639,SoMar,QuAg,NA,NA,NA
81,So-QuAg02,NA,Point,38.2305441483333,-122.825684566667,86.506,-27.639,SoMar,QuAg,NA,NA,NA
80,So-QuAg01,NA,Point,38.2306311733333,-122.825614005,87.466,-27.639,SoMar,QuAg,NA,NA,NA
79,So-UmCa03,NA,Point,38.2307056166667,-122.825574528333,89.142,-27.639,SoMar,UmCa,NA,NA,NA
78,So-UmCa02,NA,Point,38.2307334916667,-122.825518683333,89.291,-27.639,SoMar,UmCa,NA,NA,NA
77,So-UmCa01,NA,Point,38.230791455,-122.825492146667,90.16,-27.639,SoMar,UmCa,NA,NA,NA
343,So-RuUr30-1/24,NA,Point,38.2268501566667,-122.827022045,72.197,-27.647,SoMar,RuUr,2024-01-24,Staff,Adult
342,So-RuUr29-1/24,NA,Point,38.22686507,-122.827014963333,71.882,-27.647,SoMar,RuUr,2024-01-24,Staff,Adult
